Stanowisko;TiO2_perc;Al2O3_perc;Fe2O3_perc;MgO_perc;CaO_perc
74-527;1.83;13.86;13.82;5.91;10.25
74-527;1.81;13.97;13.72;6.25;10.3
74-527;1.27;16.15;11.18;6.23;12.56
74-527;1.5;16.8;9.39;6.92;11.9
74-527;1.42;16.25;10.14;6.81;12.46
74-527;2.53;14.49;13.47;6.83;6.93
74-527;2.53;14.16;14.02;6.81;7.25
74-527;2.6;14.43;14.53;6.38;6.49
74-527;2.56;14.39;14.18;6.57;6.74
74-527;1.89;14.85;11.38;4.94;3.68
74-527;1.63;14.87;11.64;5.52;8.32
74-528;1.27;16.49;10.51;7.39;11.42
74-528;1.14;17.17;9.84;6.6;12.9
74-528;1.27;16.38;10.61;6.87;12.48
74-528;2.75;15.24;12.57;5.09;6.67
74-528;2.41;15.08;11.86;5.77;4.93
74-528;2.53;14.76;13.03;5.98;6.01
74-528;1.06;18.74;9.05;5.7;13.15
74-528;2.18;16.43;11.39;6.09;6.43
74-528;1.33;16.79;10.12;6.66;12.26
74-528;2.89;14.65;13.8;5.45;8.37
74-528;2.83;14.63;13.35;5.43;8.01
74-528;3.01;14.51;14.09;5.83;7.02
74-528;2.45;15.05;12.8;5.86;8.3
