Sampling site;n_of_gold_grains;Magnetic_ fraction_g_m3;Paramagnetic_fraction_g_m3;Non_magnetic_fraction_g_m3
Proximal;2;113.5;1354.5;123.05
Proximal;4;121.9;1235.8;125.8
Proximal;9;102.4;789.95;164
Proximal;19;132.05;876.8;222.6
Proximal;7;124.55;987.6;98.9
Proximal;14;133.7;1676.9;176.85
Proximal;3;109.75;1675.45;122.7
Proximal;17;112;1840.8;165.4
Proximal;14;31.5;1230;322.8
Proximal;21;139.3;1877.85;298.55
Distal;3;24.5;199;67.5
Distal;6;76.05;139.5;72.5
Distal;9;62.1;144.5;23.3
Distal;4;49.3;178;63.7
Distal;7;79.35;192.7;56.7
Distal;9;72.35;132.9;117.7
Distal;1;17.5;99;62.5
Distal;2;15;107.5;74
Distal;1;3.2;132.5;14.6
Distal;3;35.5;156.8;22.5
Distal;2;32.5;24.7;19.5
Stream;5;23.3;1827.3;30.95
Stream;3;31.5;1330;35
Stream;4;24.9;516.25;76.6
Stream;7;50.85;485.7;81.8
Stream;9;35.4;674.8;85.45
Stream;8;27.8;1964.4;40.2
Stream;2;39.3;2021.5;43.2
